,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
0,2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-08-01,1564950.4889485403,1563837.98894854,21.15850529871697,1251107.91909548,151795.65864199,72594.17181344001,52878.64895932,17768.848949569998,7032.73295878,2804.88373188,5548.501127940001,2161.5393145,145.08435563999996,0.0
2,2017-08-02,240184.66799723,240097.16799723,52.6044682632954,59494.77198519,85902.37196014001,54801.41512334,32012.81241229,3506.20408134,1941.6433236600003,1163.29540591,958.50812029,206.42558507,109.72,0.0
3,2017-08-03,1037288.16992381,1036850.66992381,32.4590492101618,758138.9716365702,173098.92939274,48654.18796177,16881.38067734,16790.61494015,9295.22371731,3820.63699862,6256.11142525,2879.09632855,1035.5168455100004,0.0
4,2017-08-04,1280224.62756733,1279987.12756733,93.7848347063602,666517.93930697,394329.4500977,59875.20966671,22891.80248687,25985.22868686,29970.63225447,59267.60467866001,6805.93399793,6315.935056369999,8027.39133479,0.0
5,2017-08-05,1040428.56661572,1040266.06661572,63.77389687923296,688532.41012833,202088.66201360003,51626.46409333,25786.97048346,10785.2686597,26380.69448233,17432.76012374,9331.31798417,3914.87827922,4386.64036784,0.0
6,2017-08-06,929017.81466364,928205.31466364,95.25120344375352,661164.53278408,131339.82896605,20614.62668985,31084.67740806,5362.206206699999,27486.49332263,3102.19393502,40519.04817831,2487.669001500001,5044.03817144,0.0
7,2017-08-07,1419565.2471679896,1418590.2471679896,25.80820950231399,1143088.58771925,163265.17628764,44781.09428332001,26996.68064926,9532.48806467,16878.00702897,4284.3652705,4570.63629943,2603.5945693800004,2589.616995570001,0.0
8,2017-08-08,1323126.68676684,1322839.18676684,36.3294141721585,1076123.5289163,161294.37388254,18593.63999288,8644.8282864,11293.86730071,23103.08023962,10895.82637922,4257.4758398,4521.87951288,4110.68641649,0.0
9,2017-08-09,854886.8835046699,853699.3835046699,26.71567645773392,696611.15087593,104782.17840447,19679.676815680006,7656.866151710001,5262.60668,11211.45768285,1338.35728392,1754.09617954,3081.48901642,2321.50441415,0.0
10,2017-08-10,602598.69720185,601348.69720185,25.080780672407645,456751.02014668,95729.86177895,15585.018836220002,17961.48495976,4771.93389914,4519.12500969,2229.61425568,2773.12308813,1011.00923176,16.505995840000004,0.0
11,2017-08-11,777026.6141647402,776189.11416474,12.047233242650066,559587.6758466599,187994.93710716,11032.10949134,6734.63574933,4955.92827692,2344.93305208,1635.4152718300004,1174.21746287,517.91953872,211.34236783000003,0.0
12,2017-08-12,797236.88658377,796336.8865837698,10.160358327840834,701637.44940413,64288.68798637999,16745.70094799,5603.71418727,2289.16448093,2339.53270831,1033.6976591,1531.80867233,511.38338821,355.74714912,0.0
13,2017-08-13,302502.49398862,301527.49398862,44.899341177672426,205449.56842986,63690.44461957,12117.43491128,3114.41473584,4895.4541701100015,6089.845869680002,3147.72433774,1683.8764105300004,933.0277771,405.70272691,0.0
14,2017-08-14,524312.9325219099,523175.43252191006,52.09226305857256,327330.71886733995,141661.67882094003,16756.38160626,3874.97748747,8353.596063559999,6599.86903371,13791.1673085,3436.94063575,1171.2863078700002,198.81639051,0.0
15,2017-08-15,500344.35136505,498944.35136505,39.24247779599074,256213.33239337,209922.76069846,9988.33928616,2602.3377920000007,3584.42421886,9713.655438049998,952.9281838,3087.0668071500004,1816.03920214,1063.46734506,0.0
16,2017-08-16,480588.0247038798,479538.02470388,32.22406634367861,336298.14536174,99856.6305176,13129.017347060002,8044.099971269998,4115.48132228,14043.09336941,2145.57109889,1695.5213257,185.25846825,25.20592168,0.0
17,2017-08-17,1044350.82479532,1043538.32479532,14.017497419464796,728249.15346752,281189.3905901301,13255.39369863,5554.51096005,3648.83163293,4238.799934000001,4425.07671329,1933.22316226,844.0934823999999,199.85115411,0.0
18,2017-08-18,1839129.72922202,1838317.22922202,20.41311416114852,1560631.67486885,186903.80480204,31064.41782405,15624.732318810002,9185.2733671,23716.74618183,2009.26156224,5566.274972160001,3170.95068562,444.09263931999993,0.0
